base_human    , base_tex, maj              , sus2             , sus4               , 6              , 7              , 7sus4            , 9                , m                , m6           , m7               , m9
C             , C       ,     X32010:032010,   (335533):113411,   X330(11):034011,   X3221X:043210,   X3231X:032410,     X3331X:023410,     X3233X:021340,     X3554X:013420,   X312XX:031200,   X(35343):013121,     X3133X:021340
C\shrp / D\flt, D&      ,     XXX121:000132, 4:(113311):113411, 4:(113341):112341,   X4332X:043210,   X4342X:032410,     XX0213:000213,     X4344X:021340,     X421XX:042100,   X423XX:031200,   X4(242)X:031410,     X4244X:021340
D             , D       ,     XX0232:000132,     000230:000130,     X00233:000134,   XX0202:000102,   XX0212:000213,     XX0213:000213,     XX0210:000210,     XX0231:000231,   XX0201:000201,   XX02(11):000211,   5:000120:000120
D\shrp / E\flt, E&      ,     XXX343:000132, 6:(113311):113411, 6:(113341):112341,   XX101X:001020,   XXX323:000213,     XXX324:000214,   5:XX122X:001340,     XX434X:002130,   X3434X:013240, 4:XX(1313):001314,     XX4321:004321
E             , E       ,     022100:023100,     022X02:023004,     022200:023400,   XX2120:002130,   020100:020100,     020200:020300,     020102:020103,     022000:012000,   042000:031000,     022030:012040,     024000:013000
F             , F       ,   (133211):134211, 8:(113311):113411, 8:(133311):123411,   XX323X:002130, (131211):131211,   (131311):131411, 7:X21(222):021333,   (133111):134111,   X3313X:023140,   (131111):131111,   (135111):124111
F\shrp / G\flt, F#      ,   (244322):134211, 9:(113311):113411,   (244422):123411,   XX434X:002130, (242322):131211,   (242422):131411,   (242324):131214,   (244222):134111,   XX424X:003140,   (242222):131111,   (242224):131114
G             , G       ,     320003:210003,     300033:200034,   (355533):123411,   320000:210000,   320001:320001,   XX00(11):000011,     XX3233:002134,   XX5(333):003111,   XX535X:003140,   XX(3333):001111,   XXX(335):000113
G\shrp / A\flt, A&      , 4:(133211):134211,   X(11144):011134, 4:(133311):123411, XX(1111):001111, XXX(112):000112, 4:XX(1311):001311,     X3434X:013240, 4:(133111):134111, XX3(444):001222,   XX(4444):001111, 4:XX(1113):001113
A             , A       ,     X02220:001230,     002200:001200,     002230:001240, X0(2222):001111,   X02020:001020,     XXX030:000030, 5:X0(1213):001213,     X02210:002310,   X02212:002314,     X02010:002010,     X05500:001200
A\shrp / B\flt, B&      ,     XXX331:000341,   (113311):113411,   (113341):112341, XX(3333):001111, XXX(334):000112,   X(13141):013141,   XX0(111):000111,     XXX321:000321,   XX302X:002010, 6:XX(1111):001111, 6:XXX(113):000113
B             , B       ,     000442:000341,   (224422):113411,   (224452):112341, XX(4444):001111,   XXX202:000102,     X2220X:023400,     X2122X:021340,   (224432):113421, 6:XX122X:001340,     X20202:020304,     X2022X:020340
